Date,Price
2018/11/5,24.18
2018/11/6,24.08
2018/11/7,24.21
2018/11/8,24.37
2018/11/9,24.21
2018/11/12,24.18
2018/11/13,24.12
2018/11/14,24.15
2018/11/15,24.22
2018/11/16,24.29
2018/11/19,24.4
2018/11/20,24.17
2018/11/21,24.14
2018/11/22,23.98
2018/11/23,23.94
2018/11/26,24.11
2018/11/27,24.1
2018/11/28,24.27
2018/11/29,24.38
2018/11/30,24.46
2018/12/3,24.89
2018/12/4,24.82
2018/12/5,24.6
2018/12/6,24.19
2018/12/7,24.28
2018/12/10,24.07
2018/12/11,24.18
2018/12/12,24.32
2018/12/13,24.39
2018/12/14,24.31
2018/12/17,24.31
2018/12/18,24.03
2018/12/19,24.14
2018/12/20,24.13
2018/12/21,24.14
2018/12/22,24.17
2018/12/24,24.18
2018/12/25,23.97
2018/12/26,23.72
2018/12/27,23.91
2018/12/28,23.94
2019/1/2,23.83
2019/1/3,23.59
2019/1/4,23.4
2019/1/7,23.73
2019/1/8,23.79
2019/1/9,24.05
2019/1/10,24.01
2019/1/11,24.04
2019/1/14,23.99
2019/1/15,24.13
2019/1/16,24.25
2019/1/17,24.26
2019/1/18,24.39
2019/1/21,24.51
2019/1/22,24.5
2019/1/23,24.44
2019/1/24,24.55
2019/1/25,24.9
2019/1/28,25.01
2019/1/29,24.89
2019/1/30,24.92
2019/2/11,24.99
2019/2/12,25.26
2019/2/13,25.42
2019/2/14,25.43
2019/2/15,25.39
2019/2/18,25.52
2019/2/19,25.52
2019/2/20,25.74
2019/2/21,25.84
2019/2/22,25.9
2019/2/25,26.13
2019/2/26,26.18
2019/2/27,25.96
2019/3/4,26.12
2019/3/5,26
2019/3/6,26.08
2019/3/7,25.98
2019/3/8,25.84
2019/3/11,25.89
2019/3/12,26.01
2019/3/13,25.98
2019/3/14,25.91
2019/3/15,25.91
2019/3/18,26.13
2019/3/19,26.22
2019/3/20,26.2
2019/3/21,26.37
2019/3/22,26.37
2019/3/25,26.1
2019/3/26,26.25
2019/3/27,26.28
2019/3/28,26.24
2019/3/29,26.4
2019/4/1,26.51
2019/4/2,26.58
2019/4/3,26.73
2019/4/8,26.93
2019/4/9,27.02
2019/4/10,26.97
2019/4/11,26.89
2019/4/12,26.76
2019/4/15,26.99
2019/4/16,27.25
2019/4/17,27.44
2019/4/18,27.14
2019/4/19,27.35
2019/4/22,27.41
2019/4/23,27.36
2019/4/24,27.57
2019/4/25,27.65
2019/4/26,27.52
2019/4/29,27.35
2019/4/30,27.35
2019/5/2,27.4
2019/5/3,27.56
2019/5/6,27.08
2019/5/7,27.26
2019/5/8,27.2
2019/5/9,26.74
2019/5/10,26.55
2019/5/13,26.09
2019/5/14,26.07
2019/5/15,26.18
2019/5/16,25.92
2019/5/17,25.7
2019/5/20,25.7
2019/5/21,25.76
2019/5/22,25.79
2019/5/23,25.44
2019/5/24,25.44
2019/5/27,25.45
2019/5/28,25.5
2019/5/29,25.39
2019/5/30,25.58
2019/5/31,25.94
2019/6/3,25.84
2019/6/4,25.76
2019/6/5,25.81
2019/6/6,25.69
2019/6/10,25.99
2019/6/11,26.04
2019/6/12,26.1
2019/6/13,26.01
2019/6/14,25.99
2019/6/17,26.05
2019/6/18,26.06
2019/6/19,26.47
2019/6/20,26.61
2019/6/21,26.52
2019/6/24,26.6
2019/6/25,26.47
2019/6/26,26.43
2019/6/27,26.61
2019/6/28,26.59
2019/7/1,26.95
2019/7/2,26.96
2019/7/3,26.78
2019/7/4,26.93
2019/7/5,26.99
2019/7/8,26.96
2019/7/9,26.87
2019/7/10,26.95
2019/7/11,27.11
2019/7/12,27.16
2019/7/15,27.21
2019/7/16,27.26
2019/7/17,27.14
2019/7/18,27.06
2019/7/19,27.06
2019/7/22,27.11
2019/7/23,27.24
2019/7/24,27.28
2019/7/25,27.47
2019/7/26,27.4
2019/7/29,27.37
2019/7/30,27.29
2019/7/31,27.2
2019/8/1,27.1
2019/8/2,26.85
2019/8/5,26.6
2019/8/6,26.52
2019/8/7,26.43
2019/8/8,26.56
2019/8/12,26.9
2019/8/13,26.76
2019/8/14,26.93
2019/8/15,26.82
2019/8/16,26.95
2019/8/19,27.03
2019/8/20,27.07
2019/8/21,27.05
2019/8/22,27.02
2019/8/23,27.02
2019/8/26,26.88
2019/8/27,26.96
2019/8/28,26.97
2019/8/29,27
2019/8/30,27.25
2019/9/2,27.44
2019/9/3,27.4
2019/9/4,27.54
2019/9/5,27.71
2019/9/6,27.83
2019/9/9,27.77
2019/9/10,27.74
2019/9/11,27.81
2019/9/12,27.92
2019/9/16,27.94
2019/9/17,28
2019/9/18,28.05
2019/9/19,27.97
2019/9/20,27.98
2019/9/23,28.12
2019/9/24,28.33
2019/9/25,28.2
2019/9/26,28.15
2019/9/27,27.88
2019/10/1,28.18
2019/10/2,28.17
2019/10/3,28.12
2019/10/4,28.14
2019/10/7,28.42
2019/10/8,28.44
2019/10/9,28.28
2019/10/14,28.52
2019/10/15,28.45
2019/10/16,28.51
2019/10/17,28.7
2019/10/18,28.82
2019/10/21,28.95
2019/10/22,29.03
2019/10/23,27.54
2019/10/24,27.65
2019/10/25,27.6
2019/10/28,27.7
2019/10/29,27.62
2019/10/30,27.65
2019/10/31,27.58
2019/11/1,27.63
2019/11/4,27.84
2019/11/5,28.03
2019/11/6,27.93
2019/11/7,27.8
2019/11/8,27.88
2019/11/11,27.5
2019/11/12,27.74
2019/11/13,27.79
